,2011/7/1,2011/7/2,2011/7/3,2011/7/4,2011/7/5,2011/7/6,2011/7/7,2011/7/8,2011/7/9,2011/7/10,2011/7/11,2011/7/12,2011/7/13,2011/7/14,2011/7/15,2011/7/16,2011/7/17,2011/7/18,2011/7/19,2011/7/20,2011/7/21,2011/7/22,2011/7/23,2011/7/24,2011/7/25,2011/7/26,2011/7/27,2011/7/28,2011/7/29,2011/7/30,2011/7/31,2011/8/1,2011/8/2,2011/8/3,2011/8/4,2011/8/5,2011/8/6,2011/8/7,2011/8/8,2011/8/9,2011/8/10,2011/8/11,2011/8/12,2011/8/13,2011/8/14,2011/8/15,2011/8/16,2011/8/17,2011/8/18,2011/8/19,2011/8/20,2011/8/21,2011/8/22,2011/8/23,2011/8/24,2011/8/25,2011/8/26,2011/8/27,2011/8/28,2011/8/29,2011/8/30,平均值,方差,
最大等待人数,13,9,12,11,15,12,12,14,13,15,11,11,10,12,9,13,11,16,9,12,10,8,8,11,10,11,12,12,11,16,13,11,16,9,9,13,14,11,8,16,12,10,10,10,16,12,12,10,11,9,9,7,12,9,12,8,7,12,9,13,10,,,
8:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
8:55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
8:56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
8:57,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
8:58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
8:59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,
9:00,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,
9:01,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,
9:02,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,1,
9:03,0,0,0,0,2,0,1,0,1,0,0,0,0,2,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,1,0,1,
9:04,0,0,1,0,2,0,1,0,1,0,0,0,0,2,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,1,0,1,
9:05,0,0,1,0,2,0,1,0,1,0,0,0,0,2,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,1,1,0,1,
9:06,0,0,1,0,2,0,1,0,1,0,0,0,0,2,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,1,0,0,1,1,0,1,
9:07,0,0,1,0,4,0,1,0,1,0,0,0,0,2,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,1,0,0,1,1,1,1,
9:08,0,0,1,0,4,0,1,0,1,0,0,0,0,2,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,1,1,0,1,1,1,1,
9:09,0,0,2,0,4,0,1,3,1,0,0,0,0,2,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,1,1,0,1,1,1,1,
9:10,0,1,2,0,4,0,1,3,1,0,0,0,0,2,1,1,1,0,1,1,1,2,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,1,1,0,1,1,1,1,
9:11,0,1,2,0,4,0,1,3,2,0,0,0,0,2,1,1,1,0,1,1,1,2,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,1,1,0,1,1,1,1,
